lat,lon,temperature,salinity,wind_speed,chlorophyll
-60,-180,2.5,34.2,25.3,0.2
-60,-150,3.1,34.5,23.8,0.3
-60,-120,4.2,34.8,22.1,0.4
-60,-90,5.8,35.1,20.5,0.5
-60,-60,6.5,35.3,19.2,0.6
-60,-30,7.2,35.5,18.4,0.7
-60,0,7.8,35.7,17.8,0.8
-60,30,8.1,35.8,17.2,0.9
-60,60,8.5,35.9,16.8,1.0
-60,90,8.8,36.0,16.5,1.1
-60,120,9.0,36.1,16.2,1.2
-60,150,9.2,36.2,16.0,1.3
-30,-180,15.2,33.8,18.5,0.8
-30,-150,16.5,34.0,17.2,0.9
-30,-120,17.8,34.2,16.5,1.0
-30,-90,19.2,34.5,15.8,1.1
-30,-60,20.5,34.8,15.2,1.2
-30,-30,21.8,35.0,14.8,1.3
-30,0,22.5,35.2,14.5,1.4
-30,30,23.2,35.4,14.2,1.5
-30,60,23.8,35.6,14.0,1.6
-30,90,24.2,35.8,13.8,1.7
-30,120,24.5,36.0,13.6,1.8
-30,150,24.8,36.2,13.5,1.9
0,-180,25.5,33.5,12.5,1.5
0,-150,26.2,33.8,12.0,1.6
0,-120,26.8,34.0,11.8,1.7
0,-90,27.5,34.2,11.5,1.8
0,-60,28.0,34.5,11.2,1.9
0,-30,28.5,34.8,11.0,2.0
0,0,29.0,35.0,10.8,2.1
0,30,29.2,35.2,10.6,2.2
0,60,29.5,35.4,10.5,2.3
0,90,29.8,35.6,10.4,2.4
0,120,30.0,35.8,10.3,2.5
0,150,30.2,36.0,10.2,2.6
30,-180,18.5,33.2,15.8,1.2
30,-150,19.2,33.5,15.2,1.3
30,-120,20.0,33.8,14.8,1.4
30,-90,20.8,34.0,14.5,1.5
30,-60,21.5,34.2,14.2,1.6
30,-30,22.2,34.5,14.0,1.7
30,0,22.8,34.8,13.8,1.8
30,30,23.2,35.0,13.6,1.9
30,60,23.5,35.2,13.5,2.0
30,90,23.8,35.4,13.4,2.1
30,120,24.0,35.6,13.3,2.2
30,150,24.2,35.8,13.2,2.3
60,-180,5.2,32.8,22.5,0.4
60,-150,5.8,33.0,21.8,0.5
60,-120,6.5,33.2,21.2,0.6
60,-90,7.2,33.5,20.5,0.7
60,-60,7.8,33.8,19.8,0.8
60,-30,8.5,34.0,19.2,0.9
60,0,9.0,34.2,18.8,1.0
60,30,9.5,34.5,18.5,1.1
60,60,10.0,34.8,18.2,1.2
60,90,10.2,35.0,18.0,1.3
60,120,10.5,35.2,17.8,1.4
60,150,10.8,35.5,17.6,1.5
