lat,lon,temperature,salinity,wind_speed,chlorophyll
23.5,88.2,29.1,35.2,12.5,0.8
-10.2,45.1,26.4,34.8,8.3,1.2
35.7,-120.4,18.5,33.5,15.7,0.5
-45.3,170.2,12.3,34.1,22.4,0.3
51.5,0.1,15.8,35.0,18.2,0.6
-33.9,151.2,22.7,35.5,10.1,0.9
40.7,-74.0,20.3,32.8,14.6,0.7
-23.5,-46.6,25.8,36.2,9.8,1.1
55.7,37.6,10.2,30.5,20.3,0.4
-37.8,144.9,19.5,35.8,11.7,0.8
1.3,103.8,28.9,34.3,7.5,1.3
-22.9,43.2,24.6,35.1,13.2,1.0
48.8,2.3,16.7,34.7,16.8,0.6
-34.6,58.4,21.4,35.3,12.9,0.9
35.6,139.7,19.8,34.9,14.3,0.7
-41.2,174.8,14.5,34.6,19.5,0.5
59.9,10.7,11.8,31.2,21.7,0.3
-33.4,70.6,20.9,35.6,11.4,0.8
25.0,121.5,27.3,34.5,9.2,1.2
-12.0,96.8,26.7,35.4,8.9,1.1
