lat,lon,temperature
-60.5,-120.3,2.5
-55.2,-95.7,5.8
-50.8,-70.2,8.3
-45.3,-45.6,12.7
-40.7,-20.1,18.2
-35.4,5.4,22.5
-30.1,30.9,26.8
-25.6,56.4,29.3
-20.2,81.9,31.7
-15.8,107.4,33.2
-10.4,132.9,34.5
-5.1,158.4,35.1
0.3,-176.1,35.8
5.7,-150.6,35.2
10.1,-125.1,33.8
15.5,-99.6,31.5
20.9,-74.1,28.7
25.3,-48.6,25.3
30.7,-23.1,21.8
35.1,2.4,18.2
40.5,27.9,14.5
45.9,53.4,10.8
50.3,78.9,7.2
55.7,104.4,4.1
60.1,129.9,1.5
-58.3,-110.5,3.2
-53.7,-85.8,6.5
-49.2,-61.1,9.8
-44.6,-36.4,14.2
-40.1,-11.7,19.5
-35.5,13.0,23.8
-30.9,37.7,27.5
-26.4,62.4,30.1
-21.8,87.1,32.4
-17.3,111.8,34.0
-12.7,136.5,35.3
-8.2,161.2,35.9
-3.6,-174.1,36.2
1.0,-149.4,35.7
5.5,-124.7,34.3
10.1,-100.0,32.1
14.6,-75.3,29.4
19.2,-50.6,26.2
23.7,-25.9,22.7
28.3,-1.2,19.1
32.8,23.5,15.4
37.4,48.2,11.7
41.9,72.9,8.3
46.5,97.6,5.2
51.0,122.3,2.8
-56.1,-100.7,4.1
-51.5,-76.0,7.3
-46.9,-51.3,10.5
-42.4,-26.6,15.0
-37.8,-1.9,20.2
-33.2,22.8,24.5
-28.7,47.5,28.2
-24.1,72.2,30.8
-19.6,96.9,33.1
-15.0,121.6,34.7
-10.5,146.3,35.8
-5.9,171.0,36.4
-1.4,-164.3,36.7
3.2,-139.6,36.2
7.7,-114.9,34.8
12.3,-90.2,32.6
16.8,-65.5,30.0
21.4,-40.8,26.9
25.9,-16.1,23.5
30.5,8.6,19.9
35.0,33.3,16.2
39.6,58.0,12.6
44.1,82.7,9.1
48.7,107.4,6.0
53.2,132.1,3.5
-54.0,-90.9,5.0
-49.4,-66.2,8.1
-44.8,-41.5,11.3
-40.3,-16.8,15.8
-35.7,7.9,21.0
-31.1,32.6,25.3
-26.6,57.3,29.0
-22.0,82.0,31.6
-17.5,106.7,33.9
-12.9,131.4,35.5
-8.4,156.1,36.6
-3.8,180.8,37.2
0.7,-154.5,36.7
5.3,-129.8,35.3
9.8,-105.1,33.1
14.4,-80.4,30.6
19.0,-55.7,27.6
23.5,-31.0,24.3
28.1,-6.3,20.8
32.6,18.4,17.1
37.2,43.1,13.5
41.7,67.8,10.0
46.3,92.5,6.9
50.8,117.2,4.3
-51.8,-81.1,5.9
-47.2,-56.4,9.0
-42.7,-31.7,12.1
-38.1,-7.0,16.6
-33.5,17.7,21.8
-29.0,42.4,26.1
-24.4,67.1,29.8
-19.9,91.8,32.4
-15.3,116.5,34.7
-10.8,141.2,36.3
-6.2,165.9,37.4
-1.7,-169.4,38.0
2.9,-144.7,37.5
7.4,-120.0,36.1
12.0,-95.3,33.9
16.5,-70.6,31.4
21.1,-45.9,28.4
25.6,-21.2,25.2
30.2,3.5,21.7
34.7,28.2,18.0
39.3,52.9,14.4
43.8,77.6,10.9
48.4,102.3,7.8
52.9,127.0,5.2
-49.6,-71.3,6.8
-45.0,-46.6,9.8
-40.5,-21.9,12.9
-35.9,2.8,17.4
-31.3,27.5,22.6
-26.8,52.2,26.9
-22.2,76.9,30.6
-17.7,101.6,33.2
-13.1,126.3,35.5
-8.6,151.0,37.1
-4.0,175.7,38.2
0.5,-159.6,38.8
5.1,-134.9,38.3
9.6,-110.2,36.9
14.2,-85.5,34.7
18.7,-60.8,32.2
23.3,-36.1,29.2
27.8,-11.4,26.0
32.4,13.3,22.5
36.9,38.0,18.9
41.5,62.7,15.3
46.0,87.4,11.8
50.6,112.1,8.7
55.1,136.8,6.1
-47.4,-61.5,7.7
-42.8,-36.8,10.6
-38.3,-12.1,13.7
-33.7,12.6,18.2
-29.1,37.3,23.4
-24.6,62.0,27.7
-20.0,86.7,31.4
-15.5,111.4,34.0
-10.9,136.1,36.3
-6.4,160.8,38.0
-1.8,-174.5,39.0
2.7,-149.8,39.6
7.3,-125.1,39.1
11.8,-100.4,37.7
16.4,-75.7,35.5
21.0,-51.0,33.0
25.5,-26.3,30.0
30.1,-1.6,26.8
34.6,23.1,23.3
39.2,47.8,19.7
43.7,72.5,16.2
48.3,97.2,12.7
52.8,121.9,9.6
57.4,146.6,7.0
-45.2,-51.7,8.6
-40.6,-27.0,11.4
-36.1,-2.3,14.5
-31.5,22.4,19.0
-26.9,47.1,24.2
-22.4,71.8,28.5
-17.8,96.5,32.2
-13.3,121.2,34.8
-8.7,145.9,37.1
-4.2,170.6,38.8
0.4,-164.7,39.8
4.9,-140.0,40.4
9.5,-115.3,39.9
14.0,-90.6,38.5
18.6,-65.9,36.3
23.1,-41.2,33.8
27.7,-16.5,30.8
32.2,8.2,27.6
36.8,32.9,24.1
41.3,57.6,20.6
45.9,82.3,17.1
50.4,107.0,13.6
55.0,131.7,10.5
59.5,156.4,7.9
-43.0,-41.9,9.5
-38.4,-17.2,12.2
-33.9,7.5,15.3
-29.3,32.2,19.8
-24.7,56.9,25.0
-20.2,81.6,29.3
-15.6,106.3,33.0
-11.1,131.0,35.6
-6.5,155.7,38.0
-2.0,180.4,39.6
2.6,-154.9,40.6
7.1,-130.2,41.2
11.7,-105.5,40.7
16.2,-80.8,39.3
20.8,-56.1,37.1
25.3,-31.4,34.6
29.9,-6.7,31.6
34.4,18.0,28.4
39.0,42.7,24.9
43.5,67.4,21.4
48.1,92.1,17.9
52.6,116.8,14.5
57.2,141.5,11.4
61.7,166.2,8.8
